0	28
1	48
2	84
3	113
4	154
5	148
6	214
7	303
8	387
9	464
10	476
11	584
12	557
13	656
14	731
15	806
16	832
17	913
18	951
19	1059
20	1103
21	1105
22	1233
23	1226
24	1283
25	1319
26	1427
27	1373
28	1494
29	1443
30	1546
31	1560
32	1542
33	1616
34	1717
35	1995
36	2485
37	3027
38	3377
39	3652
40	3620
41	3592
42	3660
43	3605
44	3655
45	3579
46	3522
47	3537
48	3318
49	3244
50	3257
51	3169
52	3021
53	2924
54	2814
55	2640
56	2446
57	2391
58	2346
59	2263
60	2130
61	2044
62	1933
63	1837
64	1711
65	1670
66	1535
67	1506
68	1434
69	1329
70	1247
71	1206
72	1133
73	1056
74	979
75	1009
76	1017
77	939
78	919
79	825
80	788
81	754
82	735
83	716
84	706
85	650
86	659
87	631
88	593
89	587
90	546
91	545
92	510
93	489
94	447
95	450
96	454
97	452
98	435
99	386
100	420
101	381
102	369
103	371
104	348
105	362
106	326
107	312
108	286
109	288
110	299
111	296
112	256
113	249
114	249
115	247
116	196
117	224
118	211
119	198
120	216
121	197
122	192
123	175
124	180
125	156
126	168
127	4218
