0	0
1	44
2	201
3	326
4	468
5	559
6	618
7	728
8	769
9	934
10	987
11	1094
12	1198
13	1339
14	1481
15	1559
16	1678
17	2191
18	2572
19	3004
20	3201
21	3448
22	3743
23	4000
24	4288
25	27658
26	4684
27	11786
28	5197
29	5442
30	5698
31	5804
32	6176
33	6254
34	6330
35	6719
36	6762
37	7028
38	7188
39	7411
40	7399
41	7547
42	7869
43	8103
44	8245
45	8373
46	8573
47	8665
48	8772
49	9036
50	9034
51	9507
52	9535
53	9749
54	10196
55	10447
56	10495
57	10800
58	10811
59	11095
60	11442
61	11434
62	11707
63	11687
64	11962
65	12249
66	12314
67	12458
68	12268
69	12472
70	12399
71	12450
72	12416
73	12455
74	12427
75	12466
76	12404
77	12464
78	12165
79	12073
80	11879
81	12029
82	11819
83	11637
84	11500
85	11890
86	12511
87	13682
88	15370
89	16589
90	17212
91	16886
92	16485
93	15800
94	15114
95	14143
96	13145
97	12374
98	11376
99	10609
100	9594
101	8466
102	7675
103	6906
104	6000
105	5279
106	4638
107	3798
108	3158
109	2674
110	2092
111	1736
112	1444
113	1163
no answer
114	0
115	867
116	729
117	561
118	362
119	228
120	139
121	98
122	80
123	58
124	50
125	53
126	58
127	1966
