0	2
1	3
2	1
3	7
4	6
5	10
6	7
7	10
8	26
9	30
10	24
11	23
12	31
13	37
14	46
15	56
16	63
17	50
18	53
19	56
20	57
21	68
22	62
23	60
24	82
25	87
26	73
27	81
28	86
29	67
30	90
31	89
32	89
33	128
34	166
35	176
36	197
37	208
38	209
39	230
40	209
41	234
42	232
43	231
44	222
45	222
46	226
47	216
48	238
49	213
50	199
51	206
52	229
53	203
54	202
55	197
56	197
57	200
58	188
59	170
60	199
61	188
62	177
63	152
64	160
65	157
66	162
67	148
68	148
69	121
70	153
71	152
72	151
73	122
74	123
75	132
76	121
77	110
78	106
79	129
80	94
81	96
82	92
83	111
84	89
85	81
86	79
87	72
88	69
89	76
90	76
91	79
92	73
93	65
94	72
95	63
96	59
97	59
98	57
99	58
100	38
101	52
102	52
103	51
104	46
105	46
106	48
107	30
108	30
109	38
110	23
111	24
112	29
113	34
114	28
115	26
116	25
117	11
118	10
119	18
120	15
121	22
122	15
123	15
124	15
125	15
126	24
127	449
