0	5
1	11
2	10
3	20
4	10
5	47
6	64
7	69
8	68
9	109
10	123
11	106
12	143
13	141
14	149
15	174
16	194
17	189
18	182
19	222
20	210
21	222
22	209
23	195
24	199
25	271
26	298
27	362
28	324
29	323
30	304
31	270
32	210
33	227
34	219
35	197
36	176
37	192
38	139
39	152
40	147
41	107
42	107
43	81
44	81
45	91
46	87
47	60
48	70
49	68
50	54
51	48
52	55
53	49
54	34
55	35
56	41
57	35
58	20
59	35
60	29
61	24
62	27
63	12
64	24
65	14
66	16
67	10
68	15
69	20
70	12
71	10
72	13
73	5
74	11
75	11
76	10
77	8
78	9
79	11
80	8
81	7
82	7
83	9
84	9
85	4
86	8
87	3
88	4
89	4
90	7
91	5
92	3
93	5
94	4
95	6
96	4
97	6
98	4
99	5
100	2
101	6
102	2
103	6
104	7
105	2
106	3
107	6
108	2
109	1
110	2
111	1
112	1
113	4
114	3
115	1
116	0
117	4
118	2
119	3
120	2
121	3
122	2
123	2
124	1
125	4
126	2
127	40
